B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula,,
Luwak white coffe,luwakwhitecoffe,33.33%,Urecote,urecote,Pak Tani,Urea,NA,15,
Indocafe,indocafe,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Top Neo moccacino,topneomoccacino,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,15,
Anget sari wedang,angetsariwedang,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
CENTAMINE,centamine,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
ANTRACOL @1/2KG,antracol12kg,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
ANTRACOL@1/4KG,antracol14kg,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
Power grow 1 liter,powergrow1liter,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
gramokone,gramokone,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
BIBIT BROCCOLI LUCKY,bibitbroccolilucky,33.33%,Nitroplus (ZA),nitroplusza,Tawon,ZA,NA,18,
BIBIT KAILAN NEMO,bibitkailannemo,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
BIBIT PAK CHOY GREEN FONTANA,bibitpakchoygreenfontana,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,24,
BIBIT ERINA TIMUN,bibiterinatimun,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Racun Tikus Cair 2,racuntikuscair2,33.33%,CANTIK CALCINIT,cantikcalcinit,BASF,Nitrogen,NA,15,
Selang sprayer elektrik,selangsprayerelektrik,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,21,
Stop Kran elektrik biasa,stopkranelektrikbiasa,33.33%,Borate Evermax,borateevermax,LaoYing,Mikro,NA,21,
Jaring 1 meter,jaring1meter,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
powerstik,powerstik,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,9,
paratop 1 l,paratop1l,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Talenta Jagung manis,talentajagungmanis,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,18,
"GRAMOXONE 1L
ITER",gramoxone1liter,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,15,
Phonskha Plus,phonskhaplus,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,12,
Fostin61ec 400 ml,fostin61ec400ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,15,
Beras @25 Kg,beras25kg,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Dithan M-45.,dithanm45,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Dithan  M-45,dithanm45,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Pare Raden,pareraden,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
Dithan M -45,dithanm45,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Rumput Silage,rumputsilage,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
"METINDO 25WP
@50KG",metindo25wp50kg,33.33%,Mesti-Rock,mestirock,LaoYing,Fosfat,NA,15,
Timun Mira,timunmira,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,9,
besvido 100gr,besvido100gr,33.33%,Mesti-Rock,mestirock,LaoYing,Fosfat,NA,12,
NPK BAS,npkbas,33.33%,HXAS,hxas,DGW/Hextar,ZA,NA,6,
NPK Laying,npklaying,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
hits mild,hitsmild,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,8,
Bibit Cabe rawit Bisi,bibitcaberawitbisi,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,18,
Bona 100ml,bona100ml,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Ultron 8gr,ultron8gr,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
KCl Enviro,kclenviro,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
Metachlor 100ml,metachlor100ml,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
Pamungkas 1Liter,pamungkas1liter,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Rafia ecer,rafiaecer,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,9,
Kontaxone 1Liter,kontaxone1liter,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Beras Merah 500gr,berasmerah500gr,33.33%,YaraVera,yaravera,Yara,Urea,NA,15,
Phoenix kecil,phoenixkecil,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,12,
Peluru jawara,pelurujawara,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,12,
Kristalon gandasil Buah 45k,kristalongandasilbuah45k,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,24,
Bibit Tomat 3k,bibittomat3k,33.33%,Borat,borat,Mahkota,Mikro,NA,12,
Kalo Kecil,kalokecil,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
sawi putih,sawiputih,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
Tempat makan ayam,tempatmakanayam,33.33%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,15,
Asepan pendek,asepanpendek,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
Kalo Besar,kalobesar,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
mipcinta 50wp,mipcinta50wp,33.33%,Mesti-TSP,mestitsp,LaoYing,Fosfat,NA,12,
Cato besi,catobesi,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
bayam toto,bayamtoto,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
cabe bhaskara,cabebhaskara,33.33%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,12,
legenda kangkung,legendakangkung,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,15,
Tali plastik 7 ons,taliplastik7ons,33.33%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,15,
Tali plastik 1/4  9k,taliplastik149k,33.33%,HSP Astiva,hspastiva,Tawon,Fosfat,NA,15,
Sapu Bersih 1L,sapubersih1l,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
Urea Non Subsidi PKT @ 50 Kg,ureanonsubsidipkt50kg,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
Npk Mutiara/kg,npkmutiarakg,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
Kill Up,killup,33.33%,KSP,ksp,Tawon,Fosfat,NA,6,
Ghoxone 1L,ghoxone1l,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
Paratop 1L,paratop1l,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Talikur,talikur,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,7,
indamin plus 77wp,indaminplus77wp,33.33%,Nitroplus (ZA),nitroplusza,Tawon,ZA,NA,15,
centop UK 1 ltr,centopuk1ltr,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,12,
Santi-Gold,santigold,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,9,
Roundap 1 l,roundap1l,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
Sweety Bronze M34,sweetybronzem34,33.33%,MerokeMOP,merokemop,Mutiara,Kalium,NA,15,
Sweety Silver M 30,sweetysilverm30,33.33%,Borate Evermax,borateevermax,LaoYing,Mikro,NA,15,
Sweety Bronze  Comfort NB-S44,sweetybronzecomfortnbs44,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,24,
Bedak Kodomo 200gr+50gr,bedakkodomo200gr50gr,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,20,
Bedak Johnsons 500gr,bedakjohnsons500gr,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,18,
Bebelove 2 1800gr,bebelove21800gr,33.33%,EMCOTE 20-6-14,emcote20614,LaoYing,Majemuk,20-6-14,15,
Susu Chilkid gold 3   800gr,susuchilkidgold3800gr,33.33%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,21,
Hejo Daun,hejodaun,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Paket Cussons baby kecil,paketcussonsbabykecil,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,21,
Giovan soap fresh 90ml,giovansoapfresh90ml,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,19,
dapat100g,dapat100g,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
dapat400g,dapat400g,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
Celana Dalam princess (M),celanadalamprincessm,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,20,
Celana Dalam Princess (L),celanadalamprincessl,33.33%,Pelangi Agro 20-10-10,pelangiagro201010,PIHC,Majemuk,20-10-10,20,
Celana Dalam Nabila (L),celanadalamnabilal,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,18,
Celana Dalam Nabila (M),celanadalamnabilam,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,18,
Celana intan baby,celanaintanbaby,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,15,
Selimut moriska+topi,selimutmoriskatopi,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,18,
Mukena dewasa,mukenadewasa,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
Celana panjang gempi,celanapanjanggempi,33.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,18,
pokpan,pokpan,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
Tsp 1kg,tsp1kg,33.33%,KSP,ksp,Tawon,Fosfat,NA,6,
Tas Trina baby,tastrinababy,33.33%,Mesti-ZA,mestiza,LaoYing,ZA,NA,12,
Roda Royal,rodaroyal,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
Mupxone 1L,mupxone1l,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
Metsulindo 100gr,metsulindo100gr,33.33%,Mesti-Rock,mestirock,LaoYing,Fosfat,NA,15,
TSP AKP,tspakp,33.33%,KSP,ksp,Tawon,Fosfat,NA,6,
Topkuat 5l,topkuat5l,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Kresnaxone 5l,kresnaxone5l,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,12,
prevato 250ml,prevato250ml,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,12,
Arez 300ml,arez300ml,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
score k,scorek,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
Score B,scoreb,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
Azosplant @1 Liter,azosplant1liter,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
karung beras 25 kg,karungberas25kg,33.33%,YaraVera,yaravera,Yara,Urea,NA,15,
Benih sawi,benihsawi,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,9,
Grentonik,grentonik,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
PM Cabai Panex 1500 butir,pmcabaipanex1500butir,33.33%,Pak Tani 15-15-15+TE,paktani151515te,Pak Tani,Majemuk,15-15-15,21,
NPK Wallet,npkwallet,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Roundup Biosorb 486 SL @ 1 LTR,roundupbiosorb486sl1ltr,33.33%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,23,
gramoxspn,gramoxspn,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,9,
Servo 5 gr,servo5gr,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Saenan,saenan,33.33%,Vrea,vrea,Tawon,Urea,NA,6,
YaraUnik50kg,yaraunik50kg,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
kunci kamar hotel,kuncikamarhotel,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Dharmafur 1kg,dharmafur1kg,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
provita f1,provitaf1,33.33%,Brucite,brucite,BASF,Mg,NA,9,
gramuxone,gramuxone,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
ZaDgw50kg,zadgw50kg,33.33%,DGW TSP,dgwtsp,DGW/Hextar,Fosfat,NA,9,
Bering,bering,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
Nitres,nitres,33.33%,Vrea,vrea,Tawon,Urea,NA,6,
Gramaxone @1liter,gramaxone1liter,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,15,
Or Cempluk,orcempluk,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
wedrol 500,wedrol500,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
Desis 50 ml,desis50ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,9,
biotis,biotis,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
hibrida 1,hibrida1,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
M4 ikan,m4ikan,33.33%,Mestac,mestac,LaoYing,Nitrogen,NA,6,
cmp mekarindo,cmpmekarindo,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,12,
karbit,karbit,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
salonpas,salonpas,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
fello02,fello02,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,7,
fello06,fello06,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,7,
ss amopos,ssamopos,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Rosier @1 Kg,rosier1kg,33.33%,RP Peru,rpperu,Mahkota,Fosfat,NA,9,
gramoxone,gramoxone,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
Benxone @1,benxone1,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Benih Jagung Bisi 228 @1kg,benihjagungbisi2281kg,33.33%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,21,
Demolish @100 ml,demolish100ml,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,13,
akua gelas,akuagelas,33.33%,YaraVera,yaravera,Yara,Urea,NA,9,
minecto extra,minectoextra,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
es,es,33.33%,KSP,ksp,Tawon,Fosfat,NA,2,
pioner 1kg,pioner1kg,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
CBA Eleketrik,cbaeleketrik,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
minyak,minyak,33.33%,Mestac,mestac,LaoYing,Nitrogen,NA,6,
stik Lb 3 mesin,stiklb3mesin,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
Pur ayam 8k,purayam8k,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
Gibgro Pil,gibgropil,33.33%,HX-MROPH,hxmroph,DGW/Hextar,Kalium,NA,9,
bola dunia,boladunia,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Losmine @1 L,losmine1l,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,9,
Klep ancret Kecil,klepancretkecil,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,15,
Bibit Cesim sri tanjung 25gr,bibitcesimsritanjung25gr,33.33%,YaraTera KRISTA MAP 12-61-0,yaraterakristamap12610,Yara,Majemuk,12-61-0,24,
Gobest,gobest,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
bisi si mental,bisisimental,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,12,
mecking 100ml,mecking100ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,12,
nara xone 1lte,naraxone1lte,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
promolish 250ml,promolish250ml,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
promorish 100ml,promorish100ml,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
barcal 1kg,barcal1kg,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
Amistar top @250 ml,amistartop250ml,33.33%,Nitroplus (ZA),nitroplusza,Tawon,ZA,NA,15,
DURAMIN 200ML,duramin200ml,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,12,
power tonik 500ml,powertonik500ml,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,15,
Pioner P35,pionerp35,33.33%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
Mamigro Daun $ Bunga 500 ml,mamigrodaunbunga500ml,33.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
Gambas Primavera @ 10 Gram,gambasprimavera10gram,33.33%,YaraVera,yaravera,Yara,Urea,NA,21,
Gramaxone 1liter,gramaxone1liter,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,15,
Amistar top.   250ml,amistartop250ml,33.33%,Nitroplus (ZA),nitroplusza,Tawon,ZA,NA,15,
Crown pare.    20g,crownpare20g,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,12,
Axer Borer,axerborer,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
swan elektrik,swanelektrik,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,12,
Temic @10 Ml,temic10ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,9,
nara xone 20ly,naraxone20ly,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
Labu Alto,labualto,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,8,
Proquat 1 L,proquat1l,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
antrakol 500g,antrakol500g,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
Prima X,primax,33.33%,Vrea,vrea,Tawon,Urea,NA,6,
Croopfost 21-21-21 @ 50) Gram,croopfost21212150gram,33.33%,Mahkota 12-12-17-2+TE,mahkota1212172te,Mahkota,Majemuk,12-12-17,21,
Jagung Sweetop Sp,jagungsweetopsp,33.33%,DGW TSP,dgwtsp,DGW/Hextar,Fosfat,NA,15,
Gramoxon Eceran @ 500 ml,gramoxoneceran500ml,33.33%,MerokeKKB 0-0-40-0.8B,merokekkb004008b,Mutiara,Kalium,NA,19,
Nozel Yoto,nozelyoto,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
Badaso Cabe Rawit,badasocaberawit,33.33%,Borat,borat,Mahkota,Mikro,NA,15,
Kcl Eceran,kcleceran,33.33%,YaraVera,yaravera,Yara,Urea,NA,9,
bonitro89.1kg,bonitro891kg,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
jagona 1lt,jagona1lt,33.33%,Borat,borat,Mahkota,Mikro,NA,9,
centaquat 1 lt,centaquat1lt,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,12,
postrin 100ml,postrin100ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,12,
postrin 200ml,postrin200ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,12,
postrin 400ml,postrin400ml,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,12,
Neo power,neopower,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
sapporo tanggung,sapporotanggung,33.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
gibgro panen 20 sp,gibgropanen20sp,33.33%,MerokeTSP,meroketsp,Mutiara,Fosfat,NA,15,
Regent Granul,regentgranul,33.33%,RP Peru,rpperu,Mahkota,Fosfat,NA,12,
Gramaxone 1 liter,gramaxone1liter,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,15,
sprayer elektrik,sprayerelektrik,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,15,
terapy,terapy,33.33%,Borat,borat,Mahkota,Mikro,NA,6,
SSP Mekarindo,sspmekarindo,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,12,
Sapporo 100ml,sapporo100ml,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,12,
calicron b,calicronb,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
calicron k,calicronk,33.33%,ZA Petro,zapetro,PIHC,ZA,NA,9,
"Mulsa CBA 45 cm, 30 mic @ 335 m",mulsacba45cm30mic335m,33.33%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,21,
sidaxone,sidaxone,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,8,
dithane 1/2,dithane12,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
fujiwan k,fujiwank,33.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,8,
lanntate,lanntate,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,8,
Kacang Panjang salsa  Eceran,kacangpanjangsalsaeceran,33.33%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,24,
Bayam Maestro Eceran,bayammaestroeceran,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,18,
Kangkung Bangkok Sp @ 500 Butir,kangkungbangkoksp500butir,33.33%,Pak Tani Singkong  15-15-15,paktanisingkong151515,Pak Tani,Majemuk,15-15-15,25,
Jagung Pulut Jantan SP @ 200 Butir,jagungpulutjantansp200butir,33.33%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,27,
Tank Kocor Jligen,tankkocorjligen,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Methaclor 250ml,methaclor250ml,33.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
herbisida,herbisida,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
Swan Gse Hitam,swangsehitam,33.33%,HSP Astiva,hspastiva,Tawon,Fosfat,NA,12,
suppadi 56,suppadi56,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
Sp26 kemasan 25 kg,sp26kemasan25kg,33.33%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,15,
Neoban Plus 400ml,neobanplus400ml,33.33%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,15,
CMP,cmp,33.33%,KSP,ksp,Tawon,Fosfat,NA,3,
Pupuk Urea,pupukurea,33.33%,Vrea,vrea,Tawon,Urea,NA,9,
matox,matox,33.33%,Mestac,mestac,LaoYing,Nitrogen,NA,5,
prevaton b,prevatonb,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
prevaton k,prevatonk,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
vanesa kaleng,vanesakaleng,33.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,12,
Pupuk CMP,pupukcmp,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Murtier 500ml,murtier500ml,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,12,
Yara Unik@50kg,yaraunik50kg,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
Kresban 1L,kresban1l,33.33%,Urea PIM,ureapim,PIHC,Urea,NA,9,
Rejo kubis,rejokubis,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
martyl,martyl,33.33%,Mestac,mestac,LaoYing,Nitrogen,NA,6,
avimax,avimax,33.33%,Vrea,vrea,Tawon,Urea,NA,6,
minyak gor 1lt,minyakgor1lt,33.33%,MestiKisrit,mestikisrit,LaoYing,Mg,NA,12,
kacang panjang sejoli 500gr,kacangpanjangsejoli500gr,33.33%,CPN PAK TANI 15-0-15,cpnpaktani15015,Pak Tani,Majemuk,15-0-15,24,
slang sprayer,slangsprayer,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
spayer 1lt,spayer1lt,33.33%,RP Peru,rpperu,Mahkota,Fosfat,NA,9,
spayer 2lt,spayer2lt,33.33%,RP Peru,rpperu,Mahkota,Fosfat,NA,9,
sp26@25kg produklama,sp2625kgproduklama,33.33%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,18,
karung pakan baru,karungpakanbaru,33.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
Antracol 70 Wp @ 1 kg,antracol70wp1kg,33.33%,ENTEC 20-10-10,entec201010,BASF,Majemuk,20-10-10,15,
Amistartop @ 250 ml,amistartop250ml,33.33%,Nitroplus (ZA),nitroplusza,Tawon,ZA,NA,15,
Rekdan,rekdan,33.33%,Vrea,vrea,Tawon,Urea,NA,6,
vitamin B1,vitaminb1,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
perah ragaji b,perahragajib,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,12,
perah ragaji k,perahragajik,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,12,
arit super,aritsuper,33.33%,RP Peru,rpperu,Mahkota,Fosfat,NA,9,
Abacel @1liter,abacel1liter,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
Principal,principal,33.33%,Brucite,brucite,BASF,Mg,NA,9,
Primaxone Ultra 300 SL @ 1 L,primaxoneultra300sl1l,33.33%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,21,
zeolit super 50kg,zeolitsuper50kg,33.33%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,15,
manuver 500ml,manuver500ml,33.33%,YaraVera,yaravera,Yara,Urea,NA,12,
Cetar 555 SL @ 1 L,cetar555sl1l,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,12,
PUPUK PHOSKA PLUS,pupukphoskaplus,33.33%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,15,
fipros @1kg,fipros1kg,33.33%,Phosgro,phosgro,Pak Tani,Fosfat,NA,9,
Sp 26 kemasan 25 kg,sp26kemasan25kg,33.33%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,15,
NPK 13 8 27 MAHKOTA,npk13827mahkota,33.33%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,15,
OPTIMECT 1 ltr,optimect1ltr,33.33%,RP Mesir,rpmesir,Mahkota,Fosfat,NA,12,
Refilxone,refilxone,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
Ciherang JB ET,ciherangjbet,33.33%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,12,
Mulsa Bell,mulsabell,33.33%,Mestical,mestical,LaoYing,Nitrogen,NA,9,
Broudplus,broudplus,33.33%,Brucite,brucite,BASF,Mg,NA,9,
Benih Cabai Nugen,benihcabainugen,33.33%,Nitralite,nitralite,PIHC,Nitrogen,NA,15,
Neoban Plus 100ml,neobanplus100ml,33.33%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,15,
Trebon 500,trebon500,33.33%,Urecote,urecote,Pak Tani,Urea,NA,9,
Exflores,exflores,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
Kencepat,kencepat,33.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
selang air,selangair,33.33%,Mesti-GAS,mestigas,LaoYing,ZA,NA,9,
sagri bezz,sagribezz,33.33%,MerokeZA,merokeza,Mutiara,ZA,NA,9,
sidametrin 1L,sidametrin1l,33.33%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
sagri meth,sagrimeth,33.33%,YaraVera,yaravera,Yara,Urea,NA,9,
